XO                       ;0;(-1,-1)
X O                      ;0;(-1,-1)
X  O                     ;0;(-1,-1)
X   O                    ;0;(-1,-1)
X     O                  ;0;(-1,-1)
X      O                 ;0;(-1,-1)
X       O                ;0;(-1,-1)
X        O               ;0;(-1,-1)
X           O            ;0;(-1,-1)
X            O           ;0;(-1,-1)
X             O          ;0;(-1,-1)
X                 O      ;0;(-1,-1)
X                  O     ;0;(-1,-1)
X                       O;0;(-1,-1)
OX                       ;0;(-1,-1)
 XO                      ;0;(-1,-1)
 X O                     ;0;(-1,-1)
 X  O                    ;0;(-1,-1)
 X   O                   ;0;(-1,-1)
 X    O                  ;0;(-1,-1)
 X     O                 ;0;(-1,-1)
 X      O                ;0;(-1,-1)
 X       O               ;0;(-1,-1)
 X        O              ;0;(-1,-1)
 X         O             ;0;(-1,-1)
 X          O            ;0;(-1,-1)
 X           O           ;0;(-1,-1)
 X            O          ;0;(-1,-1)
 X             O         ;0;(-1,-1)
 X              O        ;0;(-1,-1)
 X               O       ;0;(-1,-1)
 X                O      ;0;(-1,-1)
 X                 O     ;0;(-1,-1)
 X                  O    ;0;(-1,-1)
 X                   O   ;0;(-1,-1)
 X                    O  ;0;(-1,-1)
 X                     O ;0;(-1,-1)
 X                      O;0;(-1,-1)
O X                      ;0;(-1,-1)
 OX                      ;0;(-1,-1)
  X  O                   ;0;(-1,-1)
  X   O                  ;0;(-1,-1)
  X    O                 ;0;(-1,-1)
  X       O              ;0;(-1,-1)
  X        O             ;0;(-1,-1)
  X         O            ;0;(-1,-1)
  X            O         ;0;(-1,-1)
  X             O        ;0;(-1,-1)
  X              O       ;0;(-1,-1)
  X                 O    ;0;(-1,-1)
  X                  O   ;0;(-1,-1)
  X                   O  ;0;(-1,-1)
O     X                  ;0;(-1,-1)
 O    X                  ;0;(-1,-1)
  O   X                  ;0;(-1,-1)
   O  X                  ;0;(-1,-1)
    O X                  ;0;(-1,-1)
      XO                 ;0;(-1,-1)
      X O                ;0;(-1,-1)
      X  O               ;0;(-1,-1)
      X     O            ;0;(-1,-1)
      X      O           ;0;(-1,-1)
      X       O          ;0;(-1,-1)
      X           O      ;0;(-1,-1)
      X            O     ;0;(-1,-1)
      X                 O;0;(-1,-1)
O      X                 ;0;(-1,-1)
 O     X                 ;0;(-1,-1)
  O    X                 ;0;(-1,-1)
     O X                 ;0;(-1,-1)
      OX                 ;0;(-1,-1)
       X  O              ;0;(-1,-1)
       X   O             ;0;(-1,-1)
       X    O            ;0;(-1,-1)
       X       O         ;0;(-1,-1)
       X        O        ;0;(-1,-1)
       X         O       ;0;(-1,-1)
       X            O    ;0;(-1,-1)
       X             O   ;0;(-1,-1)
       X              O  ;0;(-1,-1)
O           X            ;0;(-1,-1)
 O          X            ;0;(-1,-1)
  O         X            ;0;(-1,-1)
      O     X            ;0;(-1,-1)
       O    X            ;0;(-1,-1)
