X OX O  XXX XOO XXXOOOO O;(2, 3);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
 XOX XO X XXX OOOOOO X OX;(3, 4);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
OX XXO O  XXXO  XXXO OOOO;(2, 2);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
 XXOOXXXO  X OOX XOO  OXO;(3, 3);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
OXOXX OXOO   OXXO X XOXO ;(3, 2);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
 OXOO OOX O XOX XOXX OX X;(2, 1);(2, 5);(3, 2);(4, 1);(5, 1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
 XOX  XX OXXO OO OOX OOXX;(3, 4);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
OXOX  OO XOOOXXOX  X X OX;(4, 3);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
XX O OO XOX OXX  OX XOOOX;(2, 3);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
 XOXXOXO OXOXXXOX OOO    ;(2, 4);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
